antigen	n_snp	OR_ivw	L95	U95	P_ivw	OR_egger	P_egger	OR_wmd	P_wmd	OR_wmode	P_wmode	egger_intercept_P	Q_P	PRESSO_global_P
omp	9	1.18623578490866	1.07905857495728	1.30405834312893	0.000407970758245634	0.984450546132928	0.918318248262377	1.17577307147987	0.00957550111841398	1.14602938453266	0.319863137633362	0.224665854733621	0.215943282038925	0.236
vacA	15	1.03541037644963	0.97672090739804	1.0976263941309	0.242472099945992	1.08606939190974	0.161121673286129	1.07330696105785	0.122042785542474	1.03156554039369	0.896536133819429	0.327147111392854	0.552037498084116	0.522
hpylori_general	10	1.27297722698617	0.763770715920217	2.121672102174	0.354426593174959	0.414063373698518	0.413325516075757	1.0422081025551	0.900243389193175	1.03184006897203	0.979592783841248	0.289063415538406	0.221633163900358	0.242
groEL	4	0.951115198217776	0.798457537396441	1.13295958509023	0.57446046250676	1.13114230147526	0.742403258553732	0.942554483726556	0.565344720781873	0.936940125483488	0.813721521879931	0.636780937795335	0.552946317402057	0.676
catalase	9	1.02231116220469	0.918993989296766	1.13724368661872	0.684788874744956	1.08651001862133	0.599694156593983	1.01207848060383	0.860820569340455	1.0124497209737	0.936397080732265	0.678443469475486	0.878229317273551	0.915
cagA	14	0.991327185519216	0.924608749229806	1.06285992812426	0.806426004843141	1.07541077907079	0.445733373668807	1.01305959257206	0.798293501183976	1.01425794980914	0.911813867970105	0.357512721748189	0.733501802595757	0.723
ureA	10	1.00200740358236	0.914168023549836	1.09828697894629	0.965827718307955	1.09412941611765	0.597000449230735	1.02452186528129	0.647136564507977	1.00801963170868	0.971262778443151	0.588307694314312	0.0812932865735345	0.112
