exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_wmd	P_wmd	OR_egger	P_egger	egger_intercept_P	Q_pval	P_fdr	P_bonf
ureA	pancan	10	0.959031476628633	0.756861004045165	1.2152051278224	0.729101502650318	0.919425729851672	0.482733371428191	1.4413180693575	0.324677908254381	0.24942343234954	0.0117392489659494	0.976510481846338	1
groEL	uc	4	1.02857191003273	0.873003550437771	1.2118623957232	0.736336567331307	1.01203928117719	0.903162675807447	0.999411875844287	0.998402421307772	0.915835030627123	0.418658129621874	0.976510481846338	1
ureA	alzheimer	10	0.994040207300346	0.959730724980125	1.02957622175759	0.738714230562202	0.992548877720938	0.736986567782634	1.03788878772332	0.467715318672616	0.369230169088744	0.955340245039834	0.976510481846338	1
groEL	parkinson	4	1.02826442858491	0.871864636760548	1.21272006056077	0.740566702667467	0.992452897062617	0.943182574076213	1.39500788245351	0.289543910568386	0.295769259099108	0.426244315229803	0.976510481846338	1
groEL	ra	4	1.03506186156712	0.84346838191453	1.27017571759953	0.741418778417041	0.935148784771524	0.475083500206608	0.63191720033146	0.261977412511015	0.226034480860589	0.0324189065821343	0.976510481846338	1
ureA	sle	9	1.01741588648812	0.901296704111781	1.14849536379757	0.780053603145746	0.973941398369814	0.735911693807417	1.12410623125439	0.528109205207302	0.564792368194114	0.588207096467118	0.976510481846338	1
hpylori_general	ms	3	1.1585027863379	0.378679897820038	3.5442301365321	0.796491017255351	0.979346041580459	0.966655077856378	0.000153049889433243	0.304743810910195	0.299609517298301	0.0776436522963895	0.976510481846338	1
hpylori_general	atopic	10	1.02780370759397	0.832929197702533	1.26827161811318	0.798199348495299	1.01778988332571	0.896786267219013	0.600292976628582	0.206571976587414	0.170892511374689	0.258574621976041	0.976510481846338	1
vacA	alzheimer	14	0.996784526536476	0.972045811577873	1.02215284558422	0.801677890373166	0.99943848531143	0.974348286008339	1.01154561907075	0.700506046771976	0.58456389615768	0.763208353805685	0.976510481846338	1
hpylori_general	alzheimer	11	0.97240208608284	0.780152419251754	1.21202702662276	0.803351625122776	0.972865278899812	0.800210840040339	1.06887900044948	0.862445948312951	0.795596267946736	0.00475584288799693	0.976510481846338	1
omp	ra	6	1.01067260866633	0.927515453803635	1.10128528610441	0.808519373604205	0.994041766108552	0.913286061659509	0.869857771738707	0.250040870982855	0.191472243418814	0.315957951884464	0.976510481846338	1
catalase	crohn	8	1.01480599304597	0.900113057394499	1.14411317007556	0.810180009498767	0.986880592302322	0.857127068520696	1.02958222844573	0.819378937837669	0.892828382715752	0.179016014992495	0.976510481846338	1
