exposure	outcome	n_snp	OR	L95	U95	P_ivw	OR_egger	P_egger	OR_wmedian	P_wmedian	OR_wmode	P_wmode	P_egger_intercept	Q_pval	presso_global_p	P_bonf	P_fdr
omp	crohn	8	0.835704594388312	0.714735475401862	0.977147760420111	0.0244631887423943	0.802439388751656	0.366714127466693	0.933630392975475	0.463801804892015	0.992991078514562	0.978654292428913	0.851958509811761	0.104307614884492	0.156	1	0.888217786178242
vacA	stroke_isch	15	1.03525753478371	1.00230477324741	1.06929368385027	0.0357739426781278	1.09715720235679	0.024956354760833	1.04202374276494	0.0780927049136886	1.03909172267341	0.468070711820692	0.0988202031695431	0.54394379600433	0.543	1	0.888217786178242
catalase	crc	9	0.93954882960295	0.883582224493662	0.999060391594156	0.0465908725352687	0.989979258778586	0.879435273513899	0.974392742858263	0.53447069741861	0.981615220563546	0.794735971982233	0.379092384871161	0.432376880615362	0.375	1	0.888217786178242
vacA	t2d	5	0.95918852519484	0.919392016455492	1.00070765288181	0.053944738182734	0.859842830539783	0.170801029953878	0.947114279342736	0.0628793463389549	0.944871700735693	0.36184164606658	0.27313047119817	0.344288936440121	0.431	1	0.888217786178242
cagA	ida	14	1.03973989667962	0.997305282722103	1.08398007257781	0.0667912224774919	1.05353371762816	0.353400963223577	1.02218015491441	0.372907278044497	1.00883637220789	0.875428798037606	0.793789767217307	0.0577106861742854	0.062	1	0.888217786178242
omp	sle	8	1.50167253807872	0.964857537405077	2.33715374985255	0.0716260589519805	0.484828198953155	0.219793693827169	1.16649937018282	0.261645507528486	1.12534610708331	0.827438218205298	0.0634087555030722	3.23842991783295e-12	0.001	1	0.888217786178242
vacA	ida	15	0.968786788062717	0.935671357235493	1.00307424553198	0.0739342091228088	0.970852858909671	0.436213941715425	0.957767103503462	0.0770623548467405	0.94508110534816	0.336104248488967	0.947909115262975	0.469026081212307	0.497	1	0.888217786178242
ureA	crc	10	0.949003037559768	0.894571670774936	1.00674635104139	0.0824066237495761	0.942071498935429	0.565883769637871	0.934263111552934	0.0782410752466293	0.911762450221719	0.483415983390744	0.940006922520812	0.304936014539472	0.336	1	0.888217786178242
catalase	parkinson	9	1.07730381486818	0.988634135198976	1.1739261959592	0.0892901102466766	1.05530243932009	0.561871170526481	1.02472223232417	0.692129481473228	1.00380140685308	0.970637604747552	0.79153343190069	0.431793899799508	0.458	1	0.888217786178242
vacA	uc	15	0.942858556953148	0.880770715406545	1.00932313355745	0.0904580595897151	0.977114728378327	0.766369921840508	0.926127864116849	0.101644645546338	0.90102032605562	0.366976820819471	0.608153214645534	0.835247007139613	0.839	1	0.888217786178242
omp	alzheimer	8	0.965449519892262	0.926599337017482	1.00592860174107	0.0933627276773281	0.936809646820441	0.271480770797681	0.95890639347152	0.119921458390961	0.965725811826952	0.572561203832913	0.566540450259326	0.836955385078453	0.859	1	0.888217786178242
hpylori_general	stroke_isch	11	0.850523382690445	0.703576210758232	1.02816157431419	0.0943240126914947	0.93413278818683	0.836183190363502	0.890448015206311	0.374289337203788	0.894411345605312	0.645499273607607	0.76446577733887	0.363124169010781	0.424	1	0.888217786178242
omp	ida	9	1.05865149350428	0.985489204089081	1.13724531942974	0.118774131828227	1.14530522108576	0.255282102715463	1.07180842478172	0.0978602279328984	1.14327779056061	0.166398715533252	0.469391922500837	0.0910793066947412	0.087	1	0.933154939073021
hpylori_general	crc	10	0.803572294906195	0.606501110464413	1.06467807230618	0.127655118433024	1.05747045361282	0.910074281389153	0.778514725522378	0.170692811387199	0.769094349355292	0.590221034759192	0.564906566813261	0.757232229544861	0.794	1	0.933154939073021
omp	uc	8	1.11892929436168	0.968228446912783	1.29308612009156	0.127874219184332	1.06793351798192	0.76261243218777	1.05317852848162	0.526340532122344	1.01910264125665	0.944737955921075	0.81630019921326	0.103229627131658	0.145	1	0.933154939073021
ureA	itp	10	1.25407979029294	0.931022337956157	1.68923564591771	0.136298682127487	1.76088177846412	0.24602489271532	1.10531560680418	0.545072829235945	1.11900511470043	0.817703247818891	0.447131983978232	0.0494517505253836	0.045	1	0.933154939073021
vacA	crohn	15	0.945593216597537	0.877686869929062	1.0187534551446	0.141199762839109	0.893911373457175	0.209276895501687	0.943077612887156	0.236832057546593	0.905571504304828	0.3481928814491	0.472176028222301	0.927235503950298	0.937	1	0.933154939073021
groEL	ida	4	0.928898068810116	0.836589592762691	1.03139177166877	0.167222042974762	0.751785904937054	0.153106193533329	0.928657539053244	0.255386121740398	0.94403171808871	0.671825587667517	0.213111772913809	0.290348963322047	0.337	1	0.933154939073021
omp	itp	9	1.21553073014306	0.919118859000026	1.60753415236155	0.17112162303014	1.13719041719067	0.779782529366124	1.22008200809382	0.235964773580303	1.31078180457231	0.447463921028635	0.877117670189892	0.225349356993989	0.249	1	0.933154939073021
omp	ra	8	1.42195491667416	0.858243320096539	2.35592370800671	0.171758632120166	0.607193920711179	0.550470869222383	0.98272326009282	0.731356686559756	0.96901065160867	0.859213712957891	0.298375819457589	2.11864645738306e-91	0.001	1	0.933154939073021
ureA	parkinson	10	1.06584314144597	0.970324072362324	1.17076514385723	0.183145835816174	1.00300885139586	0.981884607621828	1.11460842570799	0.0933241775097166	1.13933750075262	0.425500851246807	0.623324746259748	0.727610899007861	0.738	1	0.933154939073021
omp	ms	6	0.521368886327209	0.195686537973569	1.38908643611851	0.192687556079406	1.33662000402718	0.892016395995704	1.1134265756479	0.198262890817285	1.15152235406109	0.555049034671358	0.651482331029913	4.58565143080909e-112	0.001	1	0.933154939073021
cagA	uc	11	1.05166268857476	0.974074517597546	1.13543100713497	0.197665281100242	0.942709516882918	0.516307801481297	1.05867470612824	0.228618395032942	1.07370904507588	0.452651076248286	0.199124390451523	0.242637729070199	0.274	1	0.933154939073021
vacA	cad	10	0.984501446960997	0.961353585816524	1.00820667168477	0.198192199449137	0.988047667884251	0.631815436999024	0.983427505944267	0.288165244695197	0.982717403164832	0.625781978898767	0.867467980709543	0.830576446851535	0.854	1	0.933154939073021
vacA	ms	7	0.872982329867126	0.701547429237373	1.0863102286451	0.223295456052925	0.624716272757816	0.104101777417065	0.956225295649773	0.448536300351882	0.978300154069827	0.813584430184197	0.180240266050934	1.47240230167326e-08	0.001	1	0.994532972966802
catalase	itp	9	1.13039575778718	0.922291629730531	1.38545610524146	0.237710648816988	1.10106169075306	0.638199387430171	1.15340106800095	0.29972423806505	1.17643782863915	0.467593005373758	0.878748008356876	0.588106443188375	0.597	1	0.994532972966802
omp	stroke_isch	9	0.969272297556423	0.919616775747473	1.02160901321823	0.244748283550671	0.963364872586972	0.618711621666597	0.997811273447233	0.950661459166537	1.01478832754102	0.808883627090288	0.929312775184051	0.687015943950661	0.679	1	0.994532972966802
catalase	atopic	8	1.03019279116367	0.979476751636693	1.08353484163068	0.248134873165305	1.00515851090031	0.921335283386517	1.00965886413507	0.735988866080943	0.992158317709258	0.926528911183956	0.579436843271008	0.0894901683483209	0.121	1	0.994532972966802
catalase	ra	9	0.96546097632144	0.905111479940261	1.02983435461571	0.285825250590257	0.923787497594536	0.32836544915231	0.964220646384025	0.38266745157005	0.963414444411763	0.599838692409063	0.536484419964093	0.967508450415831	0.969	1	0.994532972966802
omp	crc	9	1.0323023577115	0.971358895426042	1.09706943824231	0.305833283788616	1.13893551192933	0.204395558667717	1.02327639223146	0.587354562799736	1.01031620055711	0.902870988972558	0.298914668840663	0.626181103703183	0.603	1	0.994532972966802
groEL	stroke_isch	4	1.04103309379293	0.963567486610707	1.12472651623408	0.308061252808186	1.09916184585764	0.486679189249555	1.04288592808598	0.346711196505015	1.05326108836176	0.489189919607228	0.655153499845283	0.933582116109141	0.921	1	0.994532972966802
vacA	sle	9	0.899001007744614	0.730181141687829	1.10685248602512	0.315703341155602	0.662745890959786	0.0830549266165666	1.04718020920328	0.600118707018335	1.07293545802017	0.664075531009933	0.133736082266355	0.000483011746836523	0.001	1	0.994532972966802
catalase	cad	7	0.983929239662357	0.953022769323425	1.01583800495117	0.319752615462273	0.953580837269371	0.140302724054748	0.991116426788227	0.671325522186561	1.00658377618587	0.836333424740031	0.222085330929135	0.333122554638423	0.392	1	0.994532972966802
cagA	atopic	10	1.01647610956452	0.984141269211552	1.04987333997607	0.321786787693994	1.02488752704472	0.522741578008469	1.00106993510645	0.962541846295582	0.997440064694936	0.968770462878049	0.806293390559645	0.458452907655236	0.476	1	0.994532972966802
groEL	cad	4	0.964720748391929	0.897129018571621	1.03740499204863	0.332480975381884	0.872194490763429	0.27915835572266	0.959694370151789	0.246946277809049	0.951319246379301	0.563233217523881	0.36241494454016	0.125905958248097	0.21	1	0.994532972966802
hpylori_general	ra	8	0.848046959314797	0.601601456864175	1.19544864294676	0.346761494332051	0.768888331492001	0.665069740307639	0.910332426511911	0.672982724743521	0.933335103217394	0.892756601936411	0.864535975381212	0.99099585211396	0.992	1	0.994532972966802
cagA	stroke_isch	11	0.984104838204123	0.951626863715702	1.01769125011386	0.3493782489766	0.967621245190884	0.413418210079733	0.972033337714129	0.226414220217076	0.973065874718479	0.491714519345901	0.634700928373293	0.755377245633466	0.775	1	0.994532972966802
hpylori_general	afib	10	1.07643021924686	0.911122820998353	1.27172977144641	0.386594904278172	1.54855592858428	0.113208885280712	1.11701740299065	0.263318397173428	1.13377472491899	0.704910999740338	0.156972717381651	0.108266231951845	0.121	1	0.994532972966802
groEL	alzheimer	4	1.04168331946547	0.949221644171059	1.14315149124122	0.389168783509798	1.10165628045672	0.5859330877912	1.03743313395314	0.377742697779222	0.976111426083914	0.8490684215801	0.727456042622726	0.0781430358552598	0.145	1	0.994532972966802
ureA	cad	8	1.01452754824258	0.981724459890287	1.04842671054373	0.389739045207524	1.07695202318752	0.156677133310647	1.0142652032749	0.508718985222208	1.00216101833928	0.966519670289092	0.210785785419524	0.53574028765534	0.508	1	0.994532972966802
omp	afib	9	0.978476015138849	0.930944108016104	1.02843479426741	0.391760254110282	0.946623836772995	0.471275500476153	1.0014342586378	0.956859143892816	1.00561683116205	0.905926863017523	0.63602485431682	0.0396995134314042	0.05	1	0.994532972966802
cagA	ms	4	0.538423082267588	0.125217363275879	2.31516946160113	0.405444923723348	0.286048568285229	0.810674305942306	0.954887134946343	0.573246084903048	0.958391589494835	0.934044443300311	0.901091206419138	3.09559354064818e-78	0.001	1	0.994532972966802
omp	asthma	4	0.89274925019694	0.678580307712601	1.17451275061868	0.417572083827933	1.02041722937956	0.971992825765811	0.856374686733187	0.151202056980807	0.760765667599159	0.400898260627427	0.807411029344821	0.00784558644756359	0.056	1	0.994532972966802
vacA	itp	15	0.939308683509531	0.807284473220788	1.09292428156871	0.417831394005682	1.06958185937244	0.674951990195669	1.0127480034861	0.903870707989958	1.06714882250559	0.7594247828079	0.358499122738051	0.735400123992576	0.738	1	0.994532972966802
omp	pancan	9	0.926966706971194	0.770488142982294	1.11522452831927	0.42143610912851	0.85842688494655	0.619453218457421	0.938823328447564	0.604044394108525	0.891047151793996	0.634726448140282	0.788974924471464	0.324528739394181	0.332	1	0.994532972966802
cagA	sle	5	1.27661369526024	0.689872598015012	2.36238188270603	0.436735489601922	0.825686046772101	0.887031631663252	0.852331028220122	0.0947053324740698	0.848723658484208	0.47382340075373	0.738116493033551	3.07615881675937e-19	0.001	1	0.994532972966802
